Pos,Name,No. Tm SYBR,Tm x (°C) SYBR,Tm y (°C) SYBR,Mean SYBR,Dev. SYBR
A1,ILWE_ZZ_0071,1,79.6,,,
A2,ILWE_ZZ_0071,1,80.3,,,
A3,ILWE_ZZ_0071,1,80.5,,,
A4,ILWE_ZZ_0071,0,,,,
A5,ILWE_ZZ_0071,0,,,,
A6,ILWE_ZZ_0071,0,,,,
A7,CeWe AA_0064,1,80.1,,,
A8,CeWe AA_0064,1,80.0,,,
A9,CeWe AA_0064,1,80.0,,,
A10,CeWe AA_0064,1,75.1,,,
A11,CeWe AA_0064,1,75.4,,,
A12,CeWe AA_0064,1,75.5,,,
B1,ILWE_ZZ_0072,1,79.4,,,
B2,ILWE_ZZ_0072,1,80.1,,,
B3,ILWE_ZZ_0072,1,80.4,,,
B4,ILWE_ZZ_0072,0,,,,
B5,ILWE_ZZ_0072,0,,,,
B6,ILWE_ZZ_0072,0,,,,
B7,ILWe AA_0064,1,80.0,,,
B8,ILWe AA_0064,1,79.9,,,
B9,ILWe AA_0064,1,79.9,,,
B10,ILWe AA_0064,1,73.9,,,
B11,ILWe AA_0064,0,,,,
B12,ILWe AA_0064,0,,,,
C1,ILWE_ZZ_0073,0,,,,
C2,ILWE_ZZ_0073,1,78.4,,,
C3,ILWE_ZZ_0073,1,78.7,,,
C4,ILWE_ZZ_0073,1,75.1,,,
C5,ILWE_ZZ_0073,0,,,,
C6,ILWE_ZZ_0073,0,,,,
C7,CeWe AA_0066,1,78.4,,,
C8,CeWe AA_0066,1,78.4,,,
C9,CeWe AA_0066,1,78.4,,,
C10,CeWe AA_0066,1,75.0,,,
C11,CeWe AA_0066,1,75.0,,,
C12,CeWe AA_0066,0,,,,
D1,ILWE_ZZ_0074,0,,,,
D2,ILWE_ZZ_0074,1,78.7,,,
D3,ILWE_ZZ_0074,1,79.3,,,
D4,ILWE_ZZ_0074,0,,,,
D5,ILWE_ZZ_0074,0,,,,
D6,ILWE_ZZ_0074,0,,,,
D7,ILWe AA_0066,1,79.1,,,
D8,ILWe AA_0066,1,78.9,,,
D9,ILWe AA_0066,1,79.1,,,
D10,ILWe AA_0066,0,,,,
D11,ILWe AA_0066,0,,,,
D12,ILWe AA_0066,0,,,,
E1,ILWE_ZZ_0040,1,79.3,,,
E2,ILWE_ZZ_0040,1,79.5,,,
E3,ILWE_ZZ_0040,0,,,,
E4,ILWE_ZZ_0040,0,,,,
E5,ILWE_ZZ_0040,0,,,,
E6,ILWE_ZZ_0040,0,,,,
E7,ILWe AA_0069,0,,,,
E8,ILWe AA_0069,0,,,,
E9,ILWe AA_0069,0,,,,
E10,ILWE_AA_0069,0,,,,
E11,ILWE_AA_0069,0,,,,
E12,ILWE_AA_0069,0,,,,
F1,CeWe AA_0047,1,79.3,,,
F2,CeWe AA_0047,1,79.6,,,
F3,CeWe AA_0047,1,79.9,,,
F4,CeWe AA_0047,1,74.6,,,
F5,CeWe AA_0047,1,75.0,,,
F6,CeWe AA_0047,1,75.3,,,
F7,CeWe AA_0069,1,79.7,,,
F8,CeWe AA_0069,1,79.6,,,
F9,CeWe AA_0069,1,79.6,,,
F10,CeWe AA_0069,1,73.8,,,
F11,CeWe AA_0069,1,73.9,,,
F12,CeWe AA_0069,1,74.2,,,
G1,IlWe AA_0047,1,79.6,,,
G2,IlWe AA_0047,1,79.8,,,
G3,IlWe AA_0047,1,80.0,,,
G4,IlWe AA_0047,1,74.2,,,
G5,IlWe AA_0047,1,74.8,,,
G6,IlWe AA_0047,1,75.5,,,
G7,CeWe AA_0070,1,80.2,,,
G8,CeWe AA_0070,1,80.0,,,
G9,CeWe AA_0070,1,79.9,,,
G10,CeWe AA_0070,1,74.7,,,
G11,CeWe AA_0070,1,74.8,,,
G12,CeWe AA_0070,1,75.3,,,
H1,NTC,0,,,,
H2,NTC,0,,,,
H3,NTC,0,,,,
H4,NTC,0,,,,
H5,NTC,0,,,,
H6,NTC,0,,,,
H7,water,0,,,,
H8,water,0,,,,
H9,water,0,,,,
H10,water,0,,,,
H11,water,0,,,,
H12,water,0,,,,
,,,,,,
Analysis Parameters,,,,,,
Type of Application,Melting Curve,,,,,
Dye(s),SYBR,,,,,
Inverted Data,OFF,,,,,
