Pos,Name,No. Tm SYBR,Tm x (°C) SYBR,Tm y (°C) SYBR,Mean SYBR,Dev. SYBR
A1,CEWE_AA_0260,1,79.5,,,
A2,CEWE_AA_0260,1,79.8,,,
A3,CEWE_AA_0260,1,80.3,,,
A4,CEWE_AA_0260,1,75.3,,,
A5,CEWE_AA_0260,1,75.6,,,
A6,CEWE_AA_0260,1,75.6,,,
A7,ILWE_AA_0260,1,79.9,,,
A8,ILWE_AA_0260,1,79.9,,,
A9,ILWE_AA_0260,1,80.2,,,
A10,ILWE_AA_0260,0,,,,
A11,ILWE_AA_0260,0,,,,
A12,ILWE_AA_0260,0,,,,
B1,CEWE_AA_0261,1,79.8,,,
B2,CEWE_AA_0261,1,79.9,,,
B3,CEWE_AA_0261,1,80.2,,,
B4,CEWE_AA_0261,1,74.2,,,
B5,CEWE_AA_0261,1,74.4,,,
B6,CEWE_AA_0261,1,74.6,,,
B7,ILWE_AA_0261,1,79.3,,,
B8,ILWE_AA_0261,1,79.4,,,
B9,ILWE_AA_0261,1,80,,,
B10,ILWE_AA_0261,0,,,,
B11,ILWE_AA_0261,0,,,,
B12,ILWE_AA_0261,0,,,,
C1,CEWE_AA_0262,1,79.2,,,
C2,CEWE_AA_0262,1,79.6,,,
C3,CEWE_AA_0262,1,80.3,,,
C4,CEWE_AA_0262,0,,,,
C5,CEWE_AA_0262,0,,,,
C6,CEWE_AA_0262,0,,,,
C7,ILWE_AA_0262,1,80.6,,,
C8,ILWE_AA_0262,1,80.4,,,
C9,ILWE_AA_0262,1,80.3,,,
C10,ILWE_AA_0262,0,,,,
C11,ILWE_AA_0262,0,,,,
C12,ILWE_AA_0262,0,,,,
D1,CEWE_AA_0263,1,79.3,,,
D2,CEWE_AA_0263,1,79.6,,,
D3,CEWE_AA_0263,0,,,,
D4,CEWE_AA_0263,1,74,,,
D5,CEWE_AA_0263,1,74.4,,,
D6,CEWE_AA_0263,1,74.3,,,
D7,ILWE_AA_0263,1,79.9,,,
D8,ILWE_AA_0263,1,79.8,,,
D9,ILWE_AA_0263,1,80.3,,,
D10,ILWE_AA_0263,0,,,,
D11,ILWE_AA_0263,0,,,,
D12,ILWE_AA_0263,0,,,,
E1,CEWE_AA_0264,1,79.2,,,
E2,CEWE_AA_0264,1,79.5,,,
E3,CEWE_AA_0264,1,80.1,,,
E4,CEWE_AA_0264,0,,,,
E5,CEWE_AA_0264,0,,,,
E6,CEWE_AA_0264,0,,,,
E7,ILWE_AA_0264,1,79.6,,,
E8,ILWE_AA_0264,1,79.6,,,
E9,ILWE_AA_0264,1,79.8,,,
E10,ILWE_AA_0264,0,,,,
E11,ILWE_AA_0264,0,,,,
E12,ILWE_AA_0264,0,,,,
F1,CEWE_AA_0265,1,79,,,
F2,CEWE_AA_0265,1,79.4,,,
F3,CEWE_AA_0265,0,,,,
F4,CEWE_AA_0265,0,,,,
F5,CEWE_AA_0265,0,,,,
F6,CEWE_AA_0265,0,,,,
F7,ILWE_AA_0265,1,80,,,
F8,ILWE_AA_0265,1,79.9,,,
F9,ILWE_AA_0265,1,79.9,,,
F10,ILWE_AA_0265,0,,,,
F11,ILWE_AA_0265,0,,,,
F12,ILWE_AA_0265,0,,,,
G1,CEWE_AA_0267,1,79,,,
G2,CEWE_AA_0267,1,79.5,,,
G3,CEWE_AA_0267,1,80.3,,,
G4,CEWE_AA_0267,1,74.3,,,
G5,CEWE_AA_0267,1,74.6,,,
G6,CEWE_AA_0267,0,,,,
G7,ILWE_AA_0267,1,79.8,,,
G8,ILWE_AA_0267,1,79.7,,,
G9,ILWE_AA_0267,1,79.9,,,
G10,ILWE_AA_0267,0,,,,
G11,ILWE_AA_0267,0,,,,
G12,ILWE_AA_0267,0,,,,
H1,NTC,0,,,,
H2,NTC,0,,,,
H3,NTC,0,,,,
H4,NTC,0,,,,
H5,NTC,0,,,,
H6,NTC,0,,,,
H7,water,0,,,,
H8,water,0,,,,
H9,water,0,,,,
H10,water,0,,,,
H11,water,0,,,,
H12,water,0,,,,
,,,,,,
Analysis Parameters,,,,,,
Type of Application,Melting Curve,,,,,
Dye(s),SYBR,,,,,
Inverted Data,OFF,,,,,
