Pos,Name,No. Tm SYBR,Tm x (°C) SYBR,Tm y (°C) SYBR,Mean SYBR,Dev. SYBR
A1,CEWE_AA_0267,1,80.4,,,
A2,CEWE_AA_0267,1,80.3,,,
A3,CEWE_AA_0267,1,80.2,,,
A4,CEWE_AA_0267,0,,,,
A5,CEWE_AA_0267,1,79.3,,,
A6,CEWE_AA_0267,0,,,,
A7,CEWE_AA_0391,1,80.1,,,
A8,CEWE_AA_0391,1,80.2,,,
A9,CEWE_AA_0391,1,80.3,,,
A10,CEWE_AA_0391,0,,,,
A11,CEWE_AA_0391,1,74.6,,,
A12,CEWE_AA_0391,0,,,,
B1,CEWE_AA_0268,1,80.5,,,
B2,CEWE_AA_0268,1,80.3,,,
B3,CEWE_AA_0268,1,80.2,,,
B4,CEWE_AA_0268,0,,,,
B5,CEWE_AA_0268,0,,,,
B6,CEWE_AA_0268,0,,,,
B7,ILWE_AA_0401,1,80.1,,,
B8,ILWE_AA_0401,1,80,,,
B9,ILWE_AA_0401,1,80.2,,,
B10,ILWE_AA_0401,0,,,,
B11,ILWE_AA_0401,0,,,,
B12,ILWE_AA_0401,0,,,,
C1,CEWE_AA_0288,1,80.1,,,
C2,CEWE_AA_0288,1,80,,,
C3,CEWE_AA_0288,1,80,,,
C4,CEWE_AA_0288,0,,,,
C5,CEWE_AA_0288,0,,,,
C6,CEWE_AA_0288,0,,,,
C7,ILWE_AA_0411,1,80.2,,,
C8,ILWE_AA_0411,1,80,,,
C9,ILWE_AA_0411,1,79.9,,,
C10,ILWE_AA_0411,0,,,,
C11,ILWE_AA_0411,0,,,,
C12,ILWE_AA_0411,0,,,,
D1,CEWE_AA_0324,1,80,,,
D2,CEWE_AA_0324,1,79.7,,,
D3,CEWE_AA_0324,1,79.7,,,
D4,CEWE_AA_0324,0,,,,
D5,CEWE_AA_0324,0,,,,
D6,CEWE_AA_0324,1,78.6,,,
D7,ILWE_AA_0490,1,80,,,
D8,ILWE_AA_0490,1,79.8,,,
D9,ILWE_AA_0490,1,79.8,,,
D10,ILWE_AA_0490,0,,,,
D11,ILWE_AA_0490,0,,,,
D12,ILWE_AA_0490,0,,,,
E1,CEWE_AA_0334,1,80,,,
E2,CEWE_AA_0334,1,79.9,,,
E3,CEWE_AA_0334,1,79.8,,,
E4,CEWE_AA_0334,0,,,,
E5,CEWE_AA_0334,0,,,,
E6,CEWE_AA_0334,0,,,,
E7,ILWE_AA_0511,0,,,,
E8,ILWE_AA_0511,0,,,,
E9,ILWE_AA_0511,0,,,,
E10,ILWE_AA_0511,0,,,,
E11,ILWE_AA_0511,0,,,,
E12,ILWE_AA_0511,0,,,,
F1,CEWE_AA_0335,1,80.1,,,
F2,CEWE_AA_0335,1,80,,,
F3,CEWE_AA_0335,1,79.9,,,
F4,CEWE_AA_0335,0,,,,
F5,CEWE_AA_0335,0,,,,
F6,CEWE_AA_0335,0,,,,
F7,ILWE_AA_0512,1,79.8,,,
F8,ILWE_AA_0512,1,79.6,,,
F9,ILWE_AA_0512,1,79.6,,,
F10,ILWE_AA_0512,0,,,,
F11,ILWE_AA_0512,0,,,,
F12,ILWE_AA_0512,0,,,,
G1,CEWE_AA_0381,1,80,,,
G2,CEWE_AA_0381,1,79.8,,,
G3,CEWE_AA_0381,1,79.8,,,
G4,CEWE_AA_0381,0,,,,
G5,CEWE_AA_0381,0,,,,
G6,CEWE_AA_0381,0,,,,
G7,ILWE_AA_0515,1,80.1,,,
G8,ILWE_AA_0515,1,79.9,,,
G9,ILWE_AA_0515,1,79.9,,,
G10,ILWE_AA_0515,0,,,,
G11,ILWE_AA_0515,0,,,,
G12,ILWE_AA_0515,0,,,,
H1,NTC,0,,,,
H2,NTC,0,,,,
H3,NTC,0,,,,
H4,NTC,0,,,,
H5,NTC,0,,,,
H6,NTC,0,,,,
H7,water,0,,,,
H8,water,0,,,,
H9,water,0,,,,
H10,water,0,,,,
H11,water,0,,,,
H12,water,0,,,,
,,,,,,
Analysis Parameters,,,,,,
Type of Application,Melting Curve,,,,,
Dye(s),SYBR,,,,,
Inverted Data,OFF,,,,,
