Pos,Name,No. Tm SYBR,Tm x (°C) SYBR,Tm y (°C) SYBR,Mean SYBR,Dev. SYBR
A1,CEWE_AA_0318,1,78.6,,,
A2,CEWE_AA_0318,1,79.9,,,
A3,CEWE_AA_0318,1,79.8,,,
A4,CEWE_AA_0318,0,,,,
A5,CEWE_AA_0318,0,,,,
A6,CEWE_AA_0318,0,,,,
A7,ILWE_AA_0318,1,80,,,
A8,ILWE_AA_0318,1,80,,,
A9,ILWE_AA_0318,1,80.2,,,
A10,ILWE_AA_0318,0,,,,
A11,ILWE_AA_0318,0,,,,
A12,ILWE_AA_0318,0,,,,
B1,CEWE_AA_0319,1,78,,,
B2,CEWE_AA_0319,1,80.1,,,
B3,CEWE_AA_0319,1,80.2,,,
B4,CEWE_AA_0319,1,72.7,,,
B5,CEWE_AA_0319,1,73.8,,,
B6,CEWE_AA_0319,1,75.1,,,
B7,ILWE_AA_0319,0,,,,
B8,ILWE_AA_0319,0,,,,
B9,ILWE_AA_0319,0,,,,
B10,ILWE_AA_0319,0,,,,
B11,ILWE_AA_0319,0,,,,
B12,ILWE_AA_0319,0,,,,
C1,CEWE_AA_0320,1,78.1,,,
C2,CEWE_AA_0320,1,79.9,,,
C3,CEWE_AA_0320,1,79.9,,,
C4,CEWE_AA_0320,0,,,,
C5,CEWE_AA_0320,0,,,,
C6,CEWE_AA_0320,0,,,,
C7,ILWE_AA_0324,1,80,,,
C8,ILWE_AA_0324,1,79.8,,,
C9,ILWE_AA_0324,1,79.7,,,
C10,ILWE_AA_0324,0,,,,
C11,ILWE_AA_0324,0,,,,
C12,ILWE_AA_0324,0,,,,
D1,CEWE_AA_0321,1,79.7,,,
D2,CEWE_AA_0321,1,79.9,,,
D3,CEWE_AA_0321,1,80,,,
D4,CEWE_AA_0321,1,74.6,,,
D5,CEWE_AA_0321,0,,,,
D6,CEWE_AA_0321,0,,,,
D7,ILWE_AA_0321,1,79.6,,,
D8,ILWE_AA_0321,1,79.5,,,
D9,ILWE_AA_0321,1,79.9,,,
D10,ILWE_AA_0321,1,73.1,,,
D11,ILWE_AA_0321,1,73.8,,,
D12,ILWE_AA_0321,1,74.7,,,
E1,CEWE_AA_0322,1,79.5,,,
E2,CEWE_AA_0322,1,79.7,,,
E3,CEWE_AA_0322,1,79.9,,,
E4,CEWE_AA_0322,0,,,,
E5,CEWE_AA_0322,0,,,,
E6,CEWE_AA_0322,0,,,,
E7,ILWE_AA_0326,0,,,,
E8,ILWE_AA_0326,0,,,,
E9,ILWE_AA_0326,0,,,,
E10,ILWE_AA_0326,0,,,,
E11,ILWE_AA_0326,0,,,,
E12,ILWE_AA_0326,0,,,,
F1,CEWE_AA_0323,1,79.4,,,
F2,CEWE_AA_0323,1,80,,,
F3,CEWE_AA_0323,0,,,,
F4,CEWE_AA_0323,0,,,,
F5,CEWE_AA_0323,0,,,,
F6,CEWE_AA_0323,0,,,,
F7,ILWE_AA_0323,1,79.8,,,
F8,ILWE_AA_0323,1,79.8,,,
F9,ILWE_AA_0323,1,79.8,,,
F10,ILWE_AA_0323,0,,,,
F11,ILWE_AA_0323,0,,,,
F12,ILWE_AA_0323,0,,,,
G1,CEWE_AA_0325,1,79.5,,,
G2,CEWE_AA_0325,1,80,,,
G3,CEWE_AA_0325,1,80,,,
G4,CEWE_AA_0325,0,,,,
G5,CEWE_AA_0325,0,,,,
G6,CEWE_AA_0325,0,,,,
G7,ILWE_AA_0325,1,79.8,,,
G8,ILWE_AA_0325,1,79.7,,,
G9,ILWE_AA_0325,1,79.9,,,
G10,ILWE_AA_0325,0,,,,
G11,ILWE_AA_0325,0,,,,
G12,ILWE_AA_0325,0,,,,
H1,NTC,0,,,,
H2,NTC,0,,,,
H3,NTC,0,,,,
H4,NTC,0,,,,
H5,NTC,0,,,,
H6,NTC,0,,,,
H7,water,0,,,,
H8,water,0,,,,
H9,water,0,,,,
H10,water,0,,,,
H11,water,0,,,,
H12,water,0,,,,
,,,,,,
Analysis Parameters,,,,,,
Type of Application,Melting Curve,,,,,
Dye(s),SYBR,,,,,
Inverted Data,OFF,,,,,
